[2025-10-12 15:49:13] Worker 2 | Violations: 11 | Warnings: 0
[2025-10-12 15:49:17] Worker 4 | Violations: 2 | Warnings: 0
[2025-10-12 15:49:45] Worker 6 | Violations: 2 | Warnings: 0
[2025-10-12 15:49:49] Worker 7 | Violations: 12 | Warnings: 0
[2025-10-12 15:49:52] Worker 8 | Violations: 12 | Warnings: 0
[2025-10-12 15:50:21] Worker 5 | Violations: 5 | Warnings: 0
[2025-10-12 15:50:15] Worker 3 | Violations: 2 | Warnings: 0
[2025-10-12 15:50:39] Worker 2 | Violations: 1 | Warnings: 0
[2025-10-12 15:51:21] Worker 2 | Violations: 1 | Warnings: 0
[2025-10-12 15:51:28] Worker 6 | Violations: 1 | Warnings: 0
[2025-10-12 15:51:39] Worker 2 | Violations: 0 | Warnings: 0
[2025-10-12 15:51:46] Worker 3 | Violations: 1 | Warnings: 0
[2025-10-12 15:51:54] Worker 4 | Violations: 0 | Warnings: 0
[2025-10-12 15:52:37] Worker 6 | Violations: 0 | Warnings: 0
[2025-10-12 15:54:45] Worker 3 | Violations: 1 | Warnings: 0
[2025-10-12 15:55:11] Worker 3 | Violations: 0 | Warnings: 0
[2025-10-12 15:56:28] Worker 7 | Violations: 1 | Warnings: 0
[2025-10-12 15:58:30] Worker 7 | Violations: 0 | Warnings: 0
[2025-10-12 16:05:36] Worker 5 | Violations: 0 | Warnings: 0
[2025-10-12 16:15:00] Worker 5 | Violations: 0 | Warnings: 0
[2025-10-12 16:24:02] Worker 5 | Violations: 0 | Warnings: 0
[2025-10-12 16:24:57] Worker 6 | Violations: 0 | Warnings: 0
[2025-10-13 13:33:01] Worker 8 | Violations: 1 | Warnings: 0
[2025-10-13 13:33:36] Worker 8 | Violations: 0 | Warnings: 0
[2025-10-14 14:45:30] Worker 1 | Violations: 3 | Warnings: 1
[2025-10-14 14:45:42] Worker 8 | Violations: 3 | Warnings: 0
[2025-10-14 14:46:36] Worker 2 | Violations: 2 | Warnings: 0
[2025-10-14 14:48:43] Worker 7 | Violations: 2 | Warnings: 0
[2025-10-14 16:45:34] Worker 6 | Violations: 6 | Warnings: 2
